x_LiConc, GrandPotential, u, -u
0.52050000, 4.75749384, -1.15000000, 1.15000000
0.52100000, 4.75749384, -1.15000000, 1.15000000
0.52150000, 4.75749384, -1.15000000, 1.15000000
0.52200000, 4.75749384, -1.15000000, 1.15000000
0.52250000, 4.75749384, -1.15000000, 1.15000000
0.52300000, 4.75749384, -1.15000000, 1.15000000
0.52350000, 4.75749384, -1.15000000, 1.15000000
0.52400000, 4.75749384, -1.15000000, 1.15000000
0.52450000, 4.75749384, -1.15000000, 1.15000000
0.52500000, 4.75618271, -1.14750000, 1.14750000
0.52550000, 4.75618271, -1.14750000, 1.14750000
0.52600000, 4.75618271, -1.14750000, 1.14750000
0.52650000, 4.75618271, -1.14750000, 1.14750000
0.52700000, 4.75618271, -1.14750000, 1.14750000
0.52750000, 4.75618271, -1.14750000, 1.14750000
0.52800000, 4.75618271, -1.14750000, 1.14750000
0.52850000, 4.75618271, -1.14750000, 1.14750000
0.52900000, 4.75618271, -1.14750000, 1.14750000
0.52950000, 4.75618271, -1.14750000, 1.14750000
0.53000000, 4.75618271, -1.14750000, 1.14750000
0.53050000, 4.75618271, -1.14750000, 1.14750000
0.53100000, 4.75618271, -1.14750000, 1.14750000
0.53150000, 4.75618271, -1.14750000, 1.14750000
0.53200000, 4.75618271, -1.14750000, 1.14750000
0.53250000, 4.75618271, -1.14750000, 1.14750000
0.53300000, 4.75485189, -1.14500000, 1.14500000
0.53350000, 4.75485189, -1.14500000, 1.14500000
0.53400000, 4.75485189, -1.14500000, 1.14500000
0.53450000, 4.75485189, -1.14500000, 1.14500000
0.53500000, 4.75485189, -1.14500000, 1.14500000
0.53550000, 4.75485189, -1.14500000, 1.14500000
0.53600000, 4.75485189, -1.14500000, 1.14500000
0.53650000, 4.75485189, -1.14500000, 1.14500000
0.53700000, 4.75485189, -1.14500000, 1.14500000
0.53750000, 4.75485189, -1.14500000, 1.14500000
0.53800000, 4.75485189, -1.14500000, 1.14500000
0.53850000, 4.75485189, -1.14500000, 1.14500000
0.53900000, 4.75485189, -1.14500000, 1.14500000
0.53950000, 4.75485189, -1.14500000, 1.14500000
0.54000000, 4.75485189, -1.14500000, 1.14500000
0.54050000, 4.75485189, -1.14500000, 1.14500000
0.54100000, 4.75485189, -1.14500000, 1.14500000
0.54150000, 4.75485189, -1.14500000, 1.14500000
0.54200000, 4.75485189, -1.14500000, 1.14500000
0.54250000, 4.75485189, -1.14500000, 1.14500000
0.54300000, 4.75485189, -1.14500000, 1.14500000
0.54350000, 4.75349412, -1.14250000, 1.14250000
0.54400000, 4.75349412, -1.14250000, 1.14250000
0.54450000, 4.75349412, -1.14250000, 1.14250000
0.54500000, 4.75349412, -1.14250000, 1.14250000
0.54550000, 4.75349412, -1.14250000, 1.14250000
0.54600000, 4.75349412, -1.14250000, 1.14250000
0.54650000, 4.75349412, -1.14250000, 1.14250000
0.54700000, 4.75349412, -1.14250000, 1.14250000
0.54750000, 4.75349412, -1.14250000, 1.14250000
0.54800000, 4.75349412, -1.14250000, 1.14250000
0.54850000, 4.75349412, -1.14250000, 1.14250000
0.54900000, 4.75349412, -1.14250000, 1.14250000
0.54950000, 4.75349412, -1.14250000, 1.14250000
0.55000000, 4.75349412, -1.14250000, 1.14250000
0.55050000, 4.75349412, -1.14250000, 1.14250000
0.55100000, 4.75349412, -1.14250000, 1.14250000
0.55150000, 4.75349412, -1.14250000, 1.14250000
0.55200000, 4.75349412, -1.14250000, 1.14250000
