taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
1039,-15914.58928619,0.00006401,19.556659,20.271680,19.173809,90.206294,89.782748,89.751644,7601.210592,6.607299,21.32268,22.06798,21.69744,21.696033333333332,3.93402,3.92721,3.93525,3.9321599999999997,138.59456,60.59761,160.11672,220.3894,98.1549,66.8267,0,-39.98445478000001,21.41526353125002,3.4781187003797555e-196,3.4779320447259024e-196
104,-15920.89974050,0.00001580,19.550342,20.267957,19.190658,89.647937,89.902234,90.271161,7603.971382,6.604900,21.74333,22.99879,21.09961,21.947243333333333,3.95798,3.97838,3.92012,3.9521600000000006,144.26656,64.13969,163.61635,229.5758,101.0186,65.9990,-29.40072410000001,-40.023081009999984,21.435569728125024,3.5670645604945325e-90,3.5668731314993685e-90
1040,-15920.24869481,0.00000013,19.524102,20.257970,19.170889,89.931355,89.700854,90.107578,7582.322232,6.623758,21.37008,21.70173,21.77606,21.615956666666666,3.95509,3.97882,3.93674,3.9568833333333333,147.29623,64.36178,162.19517,229.0542,102.2582,69.6961,0,-40.00332359999999,21.428206246875003,4.123108366010736e-101,4.122887096538857e-101
1041,-15922.20758402,0.00002207,19.528983,20.279664,19.124861,89.729412,90.086185,89.843968,7574.111674,6.630939,21.25849,20.74030,20.91714,20.971976666666666,3.97262,3.97216,3.96386,3.9695466666666666,149.46141,64.92086,168.08804,238.4540,105.3238,69.2141,0,-40.055327070000004,21.419340899999998,3.3351479895164476e-68,3.334969006485014e-68
1042,-15920.31835047,0.00000013,19.480819,20.311472,19.113186,89.794533,89.782998,90.237767,7562.615551,6.641019,23.00246,22.79793,22.32293,22.707773333333336,4.00091,3.99628,4.00785,4.00168,143.32592,64.54352,160.19546,226.8903,99.3258,68.9756,0,-40.004933140000006,21.419563478124992,6.100821735173705e-100,6.100494330341346e-100
1043,-15915.13240869,0.00000003,19.553371,20.378751,19.097448,89.933123,89.986757,89.802320,7609.771788,6.599866,22.43677,21.26263,22.07431,21.92457,3.91228,3.87424,3.91328,3.8999333333333333,139.41441,62.33779,161.75241,225.4391,95.1422,66.9070,0,-40.06490091999997,0,4.628079646743493e-187,4.627831277637386e-187
1044,-15910.88315816,0.00000012,19.609947,20.252140,19.149730,89.866714,89.747539,90.012719,7605.094243,6.603925,21.05522,20.01585,21.53791,20.86966,3.88430,3.90643,3.87859,3.889773333333333,138.75353,62.07449,160.39114,223.3214,100.9974,66.0040,-29.487160775000014,-39.98639101999999,0,1.9104414867022816e-258,1.9103389615340608e-258
1045,-15921.12163957,0.00003727,19.548929,20.273893,19.116988,90.089322,89.739657,90.403695,7576.415784,6.628922,20.74502,20.94366,20.18996,20.626213333333336,4.01623,3.98685,3.94617,3.9830833333333335,151.18769,65.10348,169.58209,239.0871,106.3304,69.6602,-29.472341925000006,-40.02162374,21.427475490625007,1.9056857105649888e-86,1.905583440618795e-86
1046,-15917.15902188,0.00002532,19.544288,20.265595,19.134658,89.672689,89.860032,90.227773,7578.583927,6.627026,20.42178,21.82501,21.45771,21.23483333333333,3.97528,3.92084,3.94427,3.9467966666666663,146.25738,64.98190,166.99847,237.4601,105.4589,66.0711,0,-39.98447787,0,5.140483559970216e-153,5.1402076923525e-153
1047,-15917.47277955,0.00004516,19.531059,20.317825,19.113748,89.898386,90.174440,90.156585,7584.807574,6.621588,21.36538,22.85437,21.27655,21.832099999999997,3.92695,3.92958,3.97155,3.942693333333333,144.43949,63.18818,156.33648,219.2271,99.3888,68.4726,-29.41081041249999,-40.05117422000001,0,9.591816102356369e-148,9.591301350888563e-148
